"","Site","Sample","season","oys.density","moys.density","FFG","ffabm2"
"1","2","1","f",0,1.09090909090909,"c",277.777777777778
"2","2","1","f",0,1.09090909090909,"d",407.986111111111
"3","2","1","f",0,1.09090909090909,"o",65.1041666666667
"4","2","1","f",0,1.09090909090909,"p",0
"5","2","1","f",0,1.09090909090909,"s",0
"6","2","1","f",0,1.09090909090909,"g",0
"7","2","1","s",0,1.09090909090909,"c",108.506944444444
"8","2","1","s",0,1.09090909090909,"d",963.541666666667
"9","2","1","s",0,1.09090909090909,"o",17.3611111111111
"10","2","1","s",0,1.09090909090909,"p",4.34027777777778
"11","2","1","s",0,1.09090909090909,"s",13.0208333333333
"12","2","1","s",0,1.09090909090909,"g",0
"13","2","1","u",0,1.09090909090909,"c",156.25
"14","2","1","u",0,1.09090909090909,"d",481.770833333333
"15","2","1","u",0,1.09090909090909,"o",82.4652777777778
"16","2","1","u",0,1.09090909090909,"p",0
"17","2","1","u",0,1.09090909090909,"s",0
"18","2","1","u",0,1.09090909090909,"g",0
"19","2","1","w",0,1.09090909090909,"c",17.3611111111111
"20","2","1","w",0,1.09090909090909,"d",763.888888888889
"21","2","1","w",0,1.09090909090909,"o",21.7013888888889
"22","2","1","w",0,1.09090909090909,"p",0
"23","2","1","w",0,1.09090909090909,"s",8.68055555555556
"24","2","1","w",0,1.09090909090909,"g",0
"25","2","2","f",16,1.09090909090909,"c",277.777777777778
"26","2","2","f",16,1.09090909090909,"d",451.388888888889
"27","2","2","f",16,1.09090909090909,"o",43.4027777777778
"28","2","2","f",16,1.09090909090909,"p",0
"29","2","2","f",16,1.09090909090909,"s",0
"30","2","2","f",16,1.09090909090909,"g",0
"31","2","2","s",0,1.09090909090909,"c",82.4652777777778
"32","2","2","s",0,1.09090909090909,"d",1523.4375
"33","2","2","s",0,1.09090909090909,"o",43.4027777777778
"34","2","2","s",0,1.09090909090909,"p",4.34027777777778
"35","2","2","s",0,1.09090909090909,"s",4.34027777777778
"36","2","2","s",0,1.09090909090909,"g",0
"37","2","3","f",16,1.09090909090909,"c",234.375
"38","2","3","f",16,1.09090909090909,"d",572.916666666667
"39","2","3","f",16,1.09090909090909,"o",69.4444444444444
"40","2","3","f",16,1.09090909090909,"p",0
"41","2","3","f",16,1.09090909090909,"s",0
"42","2","3","f",16,1.09090909090909,"g",0
"43","2","3","u",0,1.09090909090909,"c",182.291666666667
"44","2","3","u",0,1.09090909090909,"d",959.201388888889
"45","2","3","u",0,1.09090909090909,"o",104.166666666667
"46","2","3","u",0,1.09090909090909,"p",0
"47","2","3","u",0,1.09090909090909,"s",0
"48","2","3","u",0,1.09090909090909,"g",0
"49","2","3","w",0,1.09090909090909,"c",21.7013888888889
"50","2","3","w",0,1.09090909090909,"d",1019.96527777778
"51","2","3","w",0,1.09090909090909,"o",4.34027777777778
"52","2","3","w",0,1.09090909090909,"p",4.34027777777778
"53","2","3","w",0,1.09090909090909,"s",0
"54","2","3","w",0,1.09090909090909,"g",0
"55","2","4","f",0,1.09090909090909,"c",407.986111111111
"56","2","4","f",0,1.09090909090909,"d",512.152777777778
"57","2","4","f",0,1.09090909090909,"o",39.0625
"58","2","4","f",0,1.09090909090909,"p",0
"59","2","4","f",0,1.09090909090909,"s",8.68055555555556
"60","2","4","f",0,1.09090909090909,"g",0
"61","2","4","s",0,1.09090909090909,"c",65.1041666666667
"62","2","4","s",0,1.09090909090909,"d",655.381944444444
"63","2","4","s",0,1.09090909090909,"o",21.7013888888889
"64","2","4","s",0,1.09090909090909,"p",0
"65","2","4","s",0,1.09090909090909,"s",4.34027777777778
"66","2","4","s",0,1.09090909090909,"g",4.34027777777778
"67","2","4","u",0,1.09090909090909,"c",138.888888888889
"68","2","4","u",0,1.09090909090909,"d",1605.90277777778
"69","2","4","u",0,1.09090909090909,"o",91.1458333333333
"70","2","4","u",0,1.09090909090909,"p",0
"71","2","4","u",0,1.09090909090909,"s",4.34027777777778
"72","2","4","u",0,1.09090909090909,"g",0
"73","2","4","w",0,1.09090909090909,"c",69.4444444444444
"74","2","4","w",0,1.09090909090909,"d",1076.38888888889
"75","2","4","w",0,1.09090909090909,"o",8.68055555555556
"76","2","4","w",0,1.09090909090909,"p",0
"77","2","4","w",0,1.09090909090909,"s",0
"78","2","4","w",0,1.09090909090909,"g",0
"79","2","5","f",0,1.09090909090909,"c",303.819444444444
"80","2","5","f",0,1.09090909090909,"d",329.861111111111
"81","2","5","f",0,1.09090909090909,"o",47.7430555555556
"82","2","5","f",0,1.09090909090909,"p",0
"83","2","5","f",0,1.09090909090909,"s",0
"84","2","5","f",0,1.09090909090909,"g",0
"85","2","5","s",0,1.09090909090909,"c",121.527777777778
"86","2","5","s",0,1.09090909090909,"d",286.458333333333
"87","2","5","s",0,1.09090909090909,"o",21.7013888888889
"88","2","5","s",0,1.09090909090909,"p",0
"89","2","5","s",0,1.09090909090909,"s",4.34027777777778
"90","2","5","s",0,1.09090909090909,"g",0
"91","2","5","u",0,1.09090909090909,"c",156.25
"92","2","5","u",0,1.09090909090909,"d",1028.64583333333
"93","2","5","u",0,1.09090909090909,"o",151.909722222222
"94","2","5","u",0,1.09090909090909,"p",0
"95","2","5","u",0,1.09090909090909,"s",0
"96","2","5","u",0,1.09090909090909,"g",0
"97","2","5","w",0,1.09090909090909,"c",125.868055555556
"98","2","5","w",0,1.09090909090909,"d",464.409722222222
"99","2","5","w",0,1.09090909090909,"o",4.34027777777778
"100","2","5","w",0,1.09090909090909,"p",4.34027777777778
"101","2","5","w",0,1.09090909090909,"s",0
"102","2","5","w",0,1.09090909090909,"g",0
"103","2","6","f",0,1.09090909090909,"c",217.013888888889
"104","2","6","f",0,1.09090909090909,"d",6788.19444444444
"105","2","6","f",0,1.09090909090909,"o",112.847222222222
"106","2","6","f",0,1.09090909090909,"p",0
"107","2","6","f",0,1.09090909090909,"s",4.34027777777778
"108","2","6","f",0,1.09090909090909,"g",4.34027777777778
"109","2","6","s",0,1.09090909090909,"c",169.270833333333
"110","2","6","s",0,1.09090909090909,"d",386.284722222222
"111","2","6","s",0,1.09090909090909,"o",39.0625
"112","2","6","s",0,1.09090909090909,"p",4.34027777777778
"113","2","6","s",0,1.09090909090909,"s",4.34027777777778
"114","2","6","s",0,1.09090909090909,"g",0
"115","2","6","u",0,1.09090909090909,"c",243.055555555556
"116","2","6","u",0,1.09090909090909,"d",954.861111111111
"117","2","6","u",0,1.09090909090909,"o",60.7638888888889
"118","2","6","u",0,1.09090909090909,"p",0
"119","2","6","u",0,1.09090909090909,"s",0
